school_name,url_address,address_short,postal_code,address,Latitude,Longitude
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),http://www.plmgss.moe.edu.sg,296 LOR AH SOO,536742,296 LOR AH SOO Singapore 536742,1.3510455,103.8855819
PEI CHUN PUBLIC SCHOOL,http://www.peichunpublic.moe.edu.sg,16  LORONG 7 TOA PAYOH,319320,16  LORONG 7 TOA PAYOH Singapore 319320,1.3369754,103.855803
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,http://www.peihwapresbyterianpri.moe.edu.sg/,7 PEI WAH AVENUE,597610,7 PEI WAH AVENUE Singapore 597610,1.3379184,103.7761693
PEI HWA SECONDARY SCHOOL,http://www.peihwasec.moe.edu.sg,21  FERNVALE LINK,797702,21  FERNVALE LINK Singapore 797702,1.3908626,103.8787863
PEI TONG PRIMARY SCHOOL,http://www.peitongpri.moe.edu.sg/,15  CLEMENTI AVENUE 5,129857,15  CLEMENTI AVENUE 5 Singapore 129857,1.3160707,103.767568
PEICAI SECONDARY SCHOOL,http://www.peicaisec.moe.edu.sg,10  SERANGOON AVENUE 4,556094,10  SERANGOON AVENUE 4 Singapore 556094,1.3593621,103.8705415
PEIRCE SECONDARY SCHOOL,http://www.peircesec.moe.edu.sg,10  SIN MING WALK,575566,10  SIN MING WALK Singapore 575566,1.3663969,103.8298425
PEIYING PRIMARY SCHOOL,http://www.peiyingpri.moe.edu.sg,651 YISHUN RING ROAD,768687,651 YISHUN RING ROAD Singapore 768687,1.4174051,103.8302303
PING YI SECONDARY SCHOOL,http://pingyisec.moe.edu.sg,61  CHAI CHEE STREET,468980,61  CHAI CHEE STREET Singapore 468980,1.3265803,103.9206073
PIONEER PRIMARY SCHOOL,http://www.pioneerpri.moe.edu.sg,23  JURONG WEST STREET 81,649076,23  JURONG WEST STREET 81 Singapore 649076,1.3485457,103.6946864
POI CHING SCHOOL,http://www.poiching.moe.edu.sg,21  TAMPINES STREET 71,529067,21  TAMPINES STREET 71 Singapore 529067,1.3583173,103.935523
PRESBYTERIAN HIGH SCHOOL,http://www.presbyterian.moe.edu.sg,5209 ANG MO KIO AVENUE 6,569845,5209 ANG MO KIO AVENUE 6 Singapore 569845,1.3760492,103.8451154
PRINCESS ELIZABETH PRIMARY SCHOOL,http://www.princesselizabethpri.moe.edu.sg,30  BUKIT BATOK WEST AVENUE 3,659163,30  BUKIT BATOK WEST AVENUE 3 Singapore 659163,1.3494947,103.7410015
